nct_id,title,status,canonical_drug,primary_target,modality,disease,has_biomarker,start_year,label_strict,label_balanced,label_permissive,label_provenance,drug_is_mapped,drug_is_mapped,ot_overall_score,ot_genetic_association,ot_somatic_mutation,ot_known_drug,ot_animal_model,ot_rna_expression,ot_literature,pubmed_pair_count,clinical_trial_pub_count,pair_pub_acceleration,lineage_specificity,gwas_disease_specificity,alteration_frequency,co_alteration_burden,genomic_complexity,ot_data_missing,cbio_data_missing,biomarker_missing,network_degree,clustering_coefficient,betweenness_centrality,tractability,binding_evidence,potency_proxy,mechanistic_maturity,druggability_tier,target_class,pathway_count,pathway_evidence,alternative_pathway_burden,gwas_association_count,cosmic_census_member,somatic_evidence,depmap_chronos,depmap_essential,depmap_selective,tumor_expression,normal_tissue_burden,tumor_specificity,expression_variability,omnipath_degree,omnipath_references,known_drug_count,interaction_score,disgenet_score,disgenet_disease_count,modality_score,drug_is_mapped,drug_is_mapped,tmb_relevance,pdl1_expression,immune_infiltration,io_mechanism,is_io_target,tds_small_molecule,tds_biologic,tds_combined,drug_class,polypharmacology_proxy,human_study_fraction,translational_study_fraction,perturbation_concordance,target_disease_assoc,pub_acceleration,literature_diversity,context_specificity,biomarker_directness,biomarker_prevalence,biomarker_clonality,assay_precision,CDS,TDS,BFS,MCS,TWS,EMS,BIOLOGY_SCORE
NCT00176605,A Phase II Trial of Metronomic Dosing of Etoposide and Cyclophosphamide in Patients With Stage D0 Prostate Cancer.,COMPLETED,etoposide,TOP2A,small_molecule,prostate cancer,True,2005.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.049,0.0,1.0,0.0,0.63,,,,1,1,0,1111.0,0.000882019801980198,1.0,0.5,0.0,0.0,0.05,0.74,0.7,4.0,0.2,0.08,0.58,0.0,0.0,-0.94,1.0,0.0,0.4,0.6,0.0,0.5,0.72,0.576,0.8,0.9,0.73,0.73,0.7,1,1.0,0.2,0.25,0.35,0.0,0.0,0.31000000000000005,0.0,0.31000000000000005,0.0,0.5,0.0,0.0,0.24,0.3,1.0,0.0245,0.1,0.5,0.3,0.7,0.8,0.225,111.3775,0.295,0.1404,0.28,0.2135,22.4527
NCT00611351,"Matched Unrelated Donor Allogeneic Hematopoietic Stem Cell Transplantation With a Conditioning Regimen of Targeted Busulfan, Cyclophosphamide, and Thymoglobulin",COMPLETED,cyclophosphamide,DNA,small_molecule,multiple myeloma,True,2005.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,1.0,0.54,0.49109481403876376,0.0,0.3,,,,1,1,0,578.0,0.0007351176470588234,1.0,1.0,1.0,0.5889090909090909,0.05,0.28,0.7,10.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.5,0.4,0.32000000000000006,0.2,0.3,0.3,0.3,0.7,1,1.0,0.2,0.3,0.4,0.0,0.0,0.7372272727272728,0.0,0.7372272727272728,0.0,0.0,0.54,0.378,0.42,0.3,0.49109481403876376,0.77,0.1,0.5,0.3,0.7,0.8,0.1325,58.3158,0.295,0.445,0.28,0.6243,11.9192
NCT01992653,"A Phase Ib/II Study Evaluating the Safety, Tolerability and Anti-Tumor Activity of Polatuzumab Vedotin (DCDS4501A) in Combination With Rituximab or Obinutuzumab, Cyclophosphamide, Doxorubicin, and Prednisone in Patients With B-Cell Non-Hodgkin's Lymphoma",COMPLETED,rituximab,MS4A1,antibody,lymphoma,True,2013.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.88,0.65,0.7,0.92,0.4,0.68,0.85,0.028,0.0,0.7142857142857142,0.0,0.65,,,,0,1,0,525.0,0.0006596552380952381,1.0,0.5,0.0,0.0,0.05,0.44,0.7,11.0,0.55,0.22,0.6,0.5,0.5,-0.44,0.5,0.0,0.4,0.6,0.0,0.5,0.68,0.544,0.9,1.0,0.73,0.73,0.8,1,1.0,0.25,0.35,0.65,0.0,0.0,0.0,0.3075,0.3075,1.0,0.5,0.0,0.0,0.682,0.88,0.7142857142857142,0.014,0.325,0.5,0.3,0.7,0.8,0.589,52.8785,0.295,0.3606,0.3568,0.1506,10.8931
NCT03322267,A Single-arm Phase II Study of Chemoradiotherapy Plus Pembrolizumab as Adjuvant Therapy for Locally Advanced Esophageal Squamous Cell Carcinoma Patients at High Risk of Recurrence Following Preoperative Chemoradiotherapy Plus Surgery,COMPLETED,pembrolizumab,PDCD1,antibody,cancer nos,True,2018.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.0,0.0,0.0,0.0,0.5,,,,1,1,0,837.0,0.0007509342891278374,1.0,1.0,0.6,0.6553333333333333,0.05,0.36,0.7,9.0,0.45,0.18,0.45,0.5,0.5,-0.15,0.0,0.0,0.4,0.6,0.0,0.5,0.6,0.48,0.9,1.0,0.65,0.65,0.8,1,1.0,0.85,0.8,0.85,1.0,1.0,0.0,0.62,0.62,1.0,0.0,0.0,0.0,0.39,0.3,0.0,0.0,0.1,0.5,0.3,0.7,0.8,0.42,84.1658,0.295,0.2005,0.28,0.0,17.0498
NCT00923936,Pilot Study of Liposomal Doxorubicin Combined With Bevacizumab Followed by Bevacizumab Monotherapy in Adults With Advanced Kaposi s Sarcoma,COMPLETED,bevacizumab,VEGFA,antibody,cancer nos,True,2009.0,1,1,1,completed+positive_text+results,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.0,0.0,0.0,0.0,0.75,,,,1,1,0,582.0,0.0006893024054982818,1.0,1.0,1.0,0.83255,0.3,1.0,0.7,30.0,1.0,0.6,0.7,1.0,1.0,-0.22,0.0,0.0,0.4,0.6,0.0,0.5,0.82,0.656,0.7,0.8,0.83,0.83,0.8,1,1.0,0.2,0.3,0.5,0.0,0.0,0.0,0.295,0.295,1.0,0.0,0.0,0.0,0.72,0.3,0.0,0.0,0.1,0.5,0.3,0.7,0.8,0.704,58.7649,0.295,0.399,0.28,0.0,12.0803
NCT04644237,"A Phase 2, Multicenter, Randomized Study of Trastuzumab Deruxtecan in Subjects With HER2-mutated Metastatic Non-small Cell Lung Cancer (NSCLC) (DESTINY-LUNG02)",COMPLETED,trastuzumab,ERBB2,antibody,nsclc,True,2021.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.7,0.6,0.65,0.75,0.4,0.6,0.68,0.477,0.18,0.8647798742138364,0.0,0.85,,,,0,1,0,739.0,0.0007936373477672532,1.0,0.5,0.3,0.7236666666666667,0.2,1.0,0.7,45.0,1.0,0.9,0.8,1.0,1.0,-0.71,1.0,1.0,0.4,0.6,0.0,0.5,0.9,0.7200000000000001,1.0,1.0,0.88,0.88,0.8,1,1.0,0.15,0.35,0.45,0.0,0.0,0.0,0.3075,0.3075,1.0,0.5,0.37735849056603776,0.2641509433962264,0.8799999999999999,0.7,0.8647798742138364,0.3285,0.3,0.5,0.3,0.7,0.8,0.8465,74.446,0.295,0.5665,0.345,0.4648,15.3419
NCT01794039,Randomized Phase 2 Trial of Retreatment With Pomalidomide or Lenalidomide With Dexamethasone for Patients With Relapsed Myeloma,COMPLETED,lenalidomide,CRBN,small_molecule,multiple myeloma,True,2014.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.2,0.05,0.875,0.0,0.4,,,,1,1,0,630.0,0.0008394936507936509,1.0,0.5,0.0,0.0,0.05,0.32,0.7,1.0,0.05,0.02,0.35,0.5,0.5,-0.55,1.0,1.0,0.4,0.6,0.0,0.5,0.55,0.44000000000000006,0.6,0.7,0.58,0.58,0.7,1,1.0,0.3,0.4,0.55,0.1,0.0,0.27,0.0,0.27,0.0,0.5,0.25,0.175,0.15,0.3,0.875,0.125,0.1,0.5,0.3,0.7,0.8,0.3965,63.2775,0.295,0.13,0.28,0.3313,12.8853
NCT02006667,"An Open-label Pilot Study Evaluating the Effect of a Combination Regimen of Herceptin, Cisplatin, and Gemcitabine on Time to Disease Progression in Patients With Metastatic Urothelial Cancer",COMPLETED,trastuzumab,ERBB2,antibody,cancer nos,True,2001.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.0,0.0,0.0,0.0,0.85,,,,1,1,0,739.0,0.0007936373477672532,1.0,0.5,0.3,0.7236666666666667,0.2,1.0,0.7,45.0,1.0,0.9,0.8,1.0,1.0,-0.71,1.0,1.0,0.4,0.6,0.0,0.5,0.9,0.7200000000000001,1.0,1.0,0.88,0.88,0.8,1,1.0,0.15,0.35,0.45,0.0,0.0,0.0,0.3075,0.3075,1.0,0.5,0.0,0.0,0.72,0.3,0.0,0.0,0.1,0.5,0.3,0.7,0.8,0.7265,74.3386,0.295,0.379,0.28,0.0,15.1966
NCT00679367,"A Phase II Trial of MRD (Melphalan, Lenalidomide and Dexamethasone) for Patients With AL Amyloidosis",COMPLETED,lenalidomide,CRBN,small_molecule,multiple myeloma,True,2008.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.2,0.05,0.875,0.0,0.4,,,,1,1,0,630.0,0.0008394936507936509,1.0,0.5,0.0,0.0,0.05,0.32,0.7,1.0,0.05,0.02,0.35,0.5,0.5,-0.55,1.0,1.0,0.4,0.6,0.0,0.5,0.55,0.44000000000000006,0.6,0.7,0.58,0.58,0.7,1,1.0,0.3,0.4,0.55,0.1,0.0,0.27,0.0,0.27,0.0,0.5,0.25,0.175,0.15,0.3,0.875,0.125,0.1,0.5,0.3,0.7,0.8,0.3965,63.2775,0.295,0.13,0.28,0.3313,12.8853
NCT04700072,A Phase 1/2 Open-Label Rolling-Arm Umbrella Platform Design of Investigational Agents With or Without Pembrolizumab or Pembrolizumab Alone in Participants With Melanoma (KEYMAKER-U02): Substudy 02D,COMPLETED,pembrolizumab,PDCD1,antibody,melanoma,True,2021.0,1,1,1,completed+positive_text+approved,1,1.0,0.9,0.65,0.7,0.95,0.4,0.72,0.88,0.073,0.0,1.0,0.0,0.5,,,,0,1,0,837.0,0.0007509342891278374,1.0,1.0,0.6,0.6553333333333333,0.05,0.36,0.7,9.0,0.45,0.18,0.45,0.5,0.5,-0.15,0.0,0.0,0.4,0.6,0.0,0.5,0.6,0.48,0.9,1.0,0.65,0.65,0.8,1,1.0,0.85,0.8,0.85,1.0,1.0,0.0,0.62,0.62,1.0,0.0,0.0,0.0,0.6300000000000001,0.9,1.0,0.0365,0.325,0.5,0.3,0.7,0.8,0.555,84.3233,0.295,0.3465,0.3608,0.2201,17.1783
NCT00301964,"A Phase II Evaluation of Bevacizumab (NCI-Supplied Agent: NSC# 704865, IND # 7921) in the Treatment of Recurrent or Persistent Endometrial Carcinoma",COMPLETED,bevacizumab,VEGFA,antibody,endometrial cancer,True,2006.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.066,0.03,0.6818181818181818,0.0,0.75,,,,1,1,0,582.0,0.0006893024054982818,1.0,1.0,1.0,0.83255,0.3,1.0,0.7,30.0,1.0,0.6,0.7,1.0,1.0,-0.22,0.0,0.0,0.4,0.6,0.0,0.5,0.82,0.656,0.7,0.8,0.83,0.83,0.8,1,1.0,0.2,0.3,0.5,0.0,0.0,0.0,0.295,0.295,1.0,0.0,0.45454545454545453,0.3181818181818182,0.72,0.3,0.6818181818181818,0.048,0.1,0.5,0.3,0.7,0.8,0.704,58.7649,0.295,0.4134,0.28,0.334,12.1166
NCT02017964,A Phase II Study for the Treatment of Non-metastatic Nodular Desmoplastic Medulloblastoma in Children Less Than 4 Years of Age,COMPLETED,carboplatin,DNA,small_molecule,cancer nos,True,2013.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.0,0.0,0.0,0.0,0.3,,,,1,1,0,578.0,0.0007351176470588234,1.0,1.0,1.0,0.5889090909090909,0.05,0.28,0.7,10.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.5,0.4,0.32000000000000006,0.2,0.3,0.3,0.3,0.7,1,1.0,0.2,0.3,0.4,0.0,0.0,0.7372272727272728,0.0,0.7372272727272728,0.0,0.0,0.0,0.0,0.42,0.3,0.0,0.0,0.1,0.5,0.3,0.7,0.8,0.1325,58.3158,0.295,0.214,0.28,0.0,11.8106
NCT02654119,"A Phase II Study of Adjuvant Therapy Using a Regimen of Cyclophosphamide, Paclitaxel With Trastuzumab in Stage I-II HER2/Neu Positive Breast Cancer Patients",COMPLETED,trastuzumab,ERBB2,antibody,breast cancer,True,2015.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.95,0.88,0.85,0.98,0.4,0.8,0.92,1.0,1.0,0.44339622641509435,0.0,0.85,,,,0,1,0,739.0,0.0007936373477672532,1.0,0.5,0.3,0.7236666666666667,0.2,1.0,0.7,45.0,1.0,0.9,0.8,1.0,1.0,-0.71,1.0,1.0,0.4,0.6,0.0,0.5,0.9,0.7200000000000001,1.0,1.0,0.88,0.88,0.8,1,1.0,0.15,0.35,0.45,0.0,0.0,0.0,0.3075,0.3075,1.0,0.5,1.0,0.7,0.98,0.95,0.44339622641509435,1.0,0.44,0.5,0.3,0.7,0.8,0.9185,74.5055,0.295,0.824,0.386,0.8287,15.4658
NCT04266795,"A Randomized, Open-label, Controlled, Phase 2 Study of Pevonedistat, Venetoclax, and Azacitidine Versus Venetoclax Plus Azacitidine in Adults With Newly Diagnosed Acute Myeloid Leukemia Who Are Unfit for Intensive Chemotherapy",COMPLETED,venetoclax,BCL2,small_molecule,leukemia,True,2020.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.9,0.75,0.8,0.92,0.4,0.7,0.85,1.0,1.0,0.547224709042077,0.0,0.7,,,,0,1,0,570.0,0.0007448929824561402,1.0,1.0,1.0,0.7835000000000001,0.05,1.0,0.7,16.0,0.8,0.32,0.65,1.0,1.0,-0.52,1.0,1.0,0.4,0.6,0.0,0.5,0.78,0.6240000000000001,0.8,0.9,0.81,0.81,0.7,1,1.0,0.25,0.4,0.55,0.0,0.0,0.9058750000000001,0.0,0.9058750000000001,0.0,0.0,1.0,0.7,0.8400000000000001,0.9,0.547224709042077,1.0,0.375,0.5,0.3,0.7,0.8,0.858,57.798,0.295,0.7255,0.3662,0.8494,12.0886
