nct_id,title,status,canonical_drug,primary_target,disease,start_year,trial_url,reviewer,primary_endpoint,endpoint_met_yes_no_unclear,effect_direction,evidence_url,evidence_date,notes
NCT00679783,"Phase II, Open Label, Non-Randomized Study of AZD2281 in the Treatment of Patients With Known BRCA or Recurrent High Grade Serous/ Undifferentiated Tubo-Ovarian Carcinoma and in Known BRCA or Triple Negative Breast Cancer to Determine Response Rate and Correlative Markers of Response",COMPLETED,unmapped,UNKNOWN,ovarian cancer,2008.0,https://clinicaltrials.gov/study/NCT00679783,,,,,,,
NCT00691301,"A Limited Access Phase II Trial of Pemetrexed (Alimta, LY231514) (NSC #698037) in Combination With Cisplatin (NSC #119875) in the Treatment of Advanced, Persistent, or Recurrent Carcinoma of the Cervix",COMPLETED,cisplatin,DNA,cervical cancer,2008.0,https://clinicaltrials.gov/study/NCT00691301,,,,,,,
NCT00710970,H-16848 - Phase II Pilot Study With Correlative Markers of Tamoxifen for Progressive Transitional Cell Carcinoma Following Previous Chemotherapy,COMPLETED,tamoxifen,ESR1,bladder cancer,2007.0,https://clinicaltrials.gov/study/NCT00710970,,,,,,,
NCT00723099,Transplantation of Umbilical Cord Blood in Patients With Hematological Malignancies Using a Reduced-Intensity Preparative Regimen (A Multi-Center Trial Coordinated by the FHCRC),COMPLETED,cyclophosphamide,DNA,lymphoma,2008.0,https://clinicaltrials.gov/study/NCT00723099,,,,,,,
NCT00744900,A Phase II Trial With Pemetrexed Plus Cisplatin as First Line Chemotherapy for Advanced Non - Small Cell Lung Cancer (NSCLC) Patients With Measurable Asymptomatic Brain Metastasis (GFPC 07-01/METAL).,COMPLETED,cisplatin,DNA,cancer nos,2008.0,https://clinicaltrials.gov/study/NCT00744900,,,,,,,
NCT00767819,"Multicenter, Triple-arm, Single-stage, Phase II Trial to Determine the Preliminary Efficacy and Safety of RAD001 in Patients With Histological Evidence of Progressive or Metastatic Bone or Soft Tissue Sarcomas",COMPLETED,everolimus,MTOR,cancer nos,2008.0,https://clinicaltrials.gov/study/NCT00767819,,,,,,,
NCT00788957,"A Randomized, Phase 1b/2 Trial of AMG 102 or AMG 479 in Combination With Panitumumab Versus Panitumumab Alone in Subject With Wild-Type KRAS Metastatic Colorectal Cancer",COMPLETED,panitumumab,EGFR,colorectal cancer,2008.0,https://clinicaltrials.gov/study/NCT00788957,,,,,,,
NCT00813293,"Randomized, Double-Blind, Placebo-Controlled, Phase II Trial Of Short Course Sorafenib Therapy Prior to Radiofrequency Ablation for Intermediate Sized (3.5 to 7cm) Hepatocellular Cancer",COMPLETED,sorafenib,BRAF,hepatocellular carcinoma,2009.0,https://clinicaltrials.gov/study/NCT00813293,,,,,,,
NCT00820170,A Phase I-II Study of Dasatinib in Combination With Weekly Paclitaxel for Patients With Metastatic Breast Carcinoma,COMPLETED,dasatinib,ABL1,breast cancer,2009.0,https://clinicaltrials.gov/study/NCT00820170,,,,,,,
NCT00847015,"Phase II Study of Gemcitabine, Cisplatin, and Sunitinib (GC-S) as Neoadjuvant Chemotherapy in Patients With Muscle-Invasive Bladder Cancer",COMPLETED,sunitinib,VEGFR2,bladder cancer,2009.0,https://clinicaltrials.gov/study/NCT00847015,,,,,,,
NCT00864032,Phase I/II Trial of Neoadjuvant Conformal Radiotherapy Plus Sorafenib for Patients With Soft Tissue Sarcoma of the Extremity and Body Wall,COMPLETED,sorafenib,BRAF,cancer nos,2009.0,https://clinicaltrials.gov/study/NCT00864032,,,,,,,
NCT00867321,Phase I/II Randomized Trial of Sorafenib and Bevacizumab as First-Line Therapy in Patients With Locally Advanced or Metastatic Hepatocellular Carcinoma,COMPLETED,sorafenib,BRAF,hepatocellular carcinoma,2009.0,https://clinicaltrials.gov/study/NCT00867321,,,,,,,
NCT00881296,Randomized Phase II Study of Biweekly Chemotherapy With Gemcitabine and Carboplatin in Elder Patients With Previously Untreated Advanced Non-Small Cell Lung Cancer,COMPLETED,gemcitabine,RRM1,nsclc,2008.0,https://clinicaltrials.gov/study/NCT00881296,,,,,,,
NCT00942877,Phase II Study of Cediranib (AZD2171) in Patients With Alveolar Soft Part Sarcoma,COMPLETED,unmapped,UNKNOWN,cancer nos,2009.0,https://clinicaltrials.gov/study/NCT00942877,,,,,,,
NCT01045460,Randomized Trial of Activated Marrow Infiltrating Lymphocytes Alone or in Conjunction With an Allogeneic GM-CSF-based Myeloma Cellular Vaccine in the Autologous Transplant Setting in Multiple Myeloma,COMPLETED,cyclophosphamide,DNA,multiple myeloma,2010.0,https://clinicaltrials.gov/study/NCT01045460,,,,,,,
NCT01053949,A Multicenter Randomized Open Label Phase II Study of Pomalidomide and Dexamethasone in Relapse and Refractory Multiple Myeloma Patients Who Are Progressive and Did Not Achieve at Least a Partial Response to Bortezomib and Lenalidomide,COMPLETED,pomalidomide,CRBN,multiple myeloma,2009.0,https://clinicaltrials.gov/study/NCT01053949,,,,,,,
NCT01057589,Phase 2 Study of Pemetrexed in Combination With Cisplatin and Cetuximab in Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,COMPLETED,cetuximab,EGFR,hnscc,2010.0,https://clinicaltrials.gov/study/NCT01057589,,,,,,,
NCT01074970,"PARP Inhibition After Preoperative Chemotherapy in Patients With Triple Negative Breast Cancer or ER/PR +, HER2 Negative With Known BRCA1/2 Mutations: Hoosier Oncology Group BRE09-146",COMPLETED,rucaparib,PARP1,breast cancer,2010.0,https://clinicaltrials.gov/study/NCT01074970,,,,,,,
NCT01076231,Feasibility and PhaseI/II Trial of Preoperative Proton Beam Radiotherapy With Concurrent Chemotherapy for Resectable Stage IIIA or Superior Sulcus NSCLC,COMPLETED,cisplatin,DNA,nsclc,2010.0,https://clinicaltrials.gov/study/NCT01076231,,,,,,,
NCT01083641,A Phase II Study of High Dose Estradiol in Metastatic Triple Negative Breast Cancer,TERMINATED,unmapped,UNKNOWN,breast cancer,2010.0,https://clinicaltrials.gov/study/NCT01083641,,,,,,,
NCT01095094,Phase II Trial of Ritonavir/Lopinavir in Patients With Progressive of Recurrent High-Grade Gliomas,TERMINATED,unmapped,UNKNOWN,glioblastoma,2009.0,https://clinicaltrials.gov/study/NCT01095094,,,,,,,
NCT01111461,"An Open-Label, Single-Arm, Multicenter Phase II Study of E7080 (Lenvatinib) in Subjects With Advanced Endometrial Cancer and Disease Progression Following First-Line Chemotherapy",COMPLETED,lenvatinib,VEGFR2,endometrial cancer,2010.0,https://clinicaltrials.gov/study/NCT01111461,,,,,,,
NCT01118026,Phase II Trial of Response-Adapted Therapy Based on Positron Emission Tomography (PET) for Bulky Stage I and Stage II Classical Hodgkin Lymphoma (HL),COMPLETED,unmapped,UNKNOWN,lymphoma,2010.0,https://clinicaltrials.gov/study/NCT01118026,,,,,,,
NCT01125176,A Phase II Study of Daily Alternating Thalidomide and Lenalidomide Therapy Plus Rituximab (ThRiL) as Initial Treatment for Patients With CLL,COMPLETED,rituximab,MS4A1,leukemia,2012.0,https://clinicaltrials.gov/study/NCT01125176,,,,,,,
NCT01138046,"An Open-label, Single-arm, Phase I/II Study of Lapatinib in Combination With Weekly Paclitaxel as First-line Chemotherapy for ErbB2-overexpressing Metastatic Breast Cancer Patients",COMPLETED,lapatinib,ERBB2,breast cancer,2010.0,https://clinicaltrials.gov/study/NCT01138046,,,,,,,
NCT01203267,Phase 2 Study of Weekly Paclitaxel Plus Carboplatin in Preoperative Treatment of Breast Cancer Patients,COMPLETED,carboplatin,DNA,breast cancer,2007.0,https://clinicaltrials.gov/study/NCT01203267,,,,,,,
NCT01232452,"An Open-label, Multicenter, Randomized Phase 2 Study Evaluating the Safety and Efficacy of Cisplatin and Pemetrexed With or Without Cixutumumab as First-Line Therapy in Patients With Advanced Nonsquamous Non-Small Cell Lung Carcinoma",COMPLETED,cisplatin,DNA,cancer nos,2011.0,https://clinicaltrials.gov/study/NCT01232452,,,,,,,
NCT01246557,Open Label Multi-center Pilot Phase I/II Non-controlled Clinical Trial to Assess Safety and Efficieecy of the Lenalidomide and Dexamethasone Association in Patients With Chronic Relapse or Treatment Resistant Lymphatic Leukemia Following Treatment Containing Fludarabine.,COMPLETED,lenalidomide,CRBN,leukemia,2009.0,https://clinicaltrials.gov/study/NCT01246557,,,,,,,
NCT01246986,Phase 2 Study of LY2157299 in Patients With Hepatocellular Carcinoma,COMPLETED,sorafenib,BRAF,hepatocellular carcinoma,2011.0,https://clinicaltrials.gov/study/NCT01246986,,,,,,,
NCT01274351,"A Phase II Multi-center, Open-label, Non-randomized Study of Nilotinib as First Line Treatment in Adult Patients With Newly Diagnosed Philadelphia Chromosome Positive (Ph+) Chronic Myelogenous Leukemia in Chronic Phase (CML-CP)",COMPLETED,nilotinib,ABL1,leukemia,2011.0,https://clinicaltrials.gov/study/NCT01274351,,,,,,,
NCT01279694,Phase I/II Trial of Carfilzomib Plus Melphalan and Prednisone in Elderly Untreated Patients With Multiple Myeloma.,COMPLETED,carfilzomib,PSMB5,multiple myeloma,2010.0,https://clinicaltrials.gov/study/NCT01279694,,,,,,,
NCT01305213,"A Randomized Phase II Evaluation of Single-Agent Bevacizumab (NSC #704865) and Combination Bevacizumab With Fosbretabulin Tromethamine (CA4P) (NSC #752293) in the Treatment of Recurrent or Persistent Epithelial Ovarian, Fallopian Tube or Primary Peritoneal Carcinoma",COMPLETED,bevacizumab,VEGFA,ovarian cancer,2011.0,https://clinicaltrials.gov/study/NCT01305213,,,,,,,
NCT01340430,Neoadjuvant Therapy With FEC Followed by Weekly Paclitaxel and Concurrent Trastuzumab in Her2 Positive Non Operable Breast Cancer. Phase II Study.,COMPLETED,trastuzumab,ERBB2,breast cancer,2011.0,https://clinicaltrials.gov/study/NCT01340430,,,,,,,
NCT01388647,"Phase I/II Study of Neoadjuvant Carboplatin, Eribulin Mesylate and Trastuzumab (ECH) for Operable HER2 Positive Breast Cancer",TERMINATED,trastuzumab,ERBB2,breast cancer,2011.0,https://clinicaltrials.gov/study/NCT01388647,,,,,,,
NCT01418742,SKIP - A Double-blind Placebo-controlled Randomized Multicenter Phase II Trial of Skin Toxicity Treatment in Subjects With Advanced or Metastatic Colorectal Carcinoma Receiving Panitumumab,TERMINATED,panitumumab,EGFR,colorectal cancer,2011.0,https://clinicaltrials.gov/study/NCT01418742,,,,,,,
NCT01468532,"Phase I/II Trial to Establish the Safety and Preliminary Efficacy of the Combination of Docetaxel, Prednisone, and SOM 230 (Pasireotide) in Metastatic Castrate Resistant Prostate Cancer (CRPC).",COMPLETED,docetaxel,TUBB,prostate cancer,2011.0,https://clinicaltrials.gov/study/NCT01468532,,,,,,,
NCT01495247,"A Dose-finding Phase Ib Study Followed by an Open-label, Randomized Phase II Study of BEZ235 Plus Paclitaxel in Patients With HER2 Negative, Inoperable Locally Advanced or Metastatic Breast Cancer",TERMINATED,paclitaxel,TUBB,breast cancer,2012.0,https://clinicaltrials.gov/study/NCT01495247,,,,,,,
NCT01505413,Phase 2 Study of GEMOX-T in Previously Untreated Patients With Advanced Pancreatic Cancer,COMPLETED,erlotinib,EGFR,pancreatic cancer,2011.0,https://clinicaltrials.gov/study/NCT01505413,,,,,,,
NCT01535924,A Phase I/II Study Of Gemcitabine And Bendamustine In Patients With Relapsed Or Refractory Hodgkin's Lymphoma,COMPLETED,gemcitabine,RRM1,lymphoma,2012.0,https://clinicaltrials.gov/study/NCT01535924,,,,,,,
NCT01593020,A Randomized Phase II Neoadjuvant Study of Sequential Eribulin Followed by FAC/FEC-regimen Compared to Sequential Paclitaxel Followed by FAC/FEC-Regimen in Women With Early Stage Breast Cancer Not Overexpressing HER-2,COMPLETED,paclitaxel,TUBB,breast cancer,2012.0,https://clinicaltrials.gov/study/NCT01593020,,,,,,,
NCT01621880,Effect of Bevacizumab on Radiation-induced Brain Necrosis in Patients With Nasopharyngeal Carcinoma,COMPLETED,bevacizumab,VEGFA,cancer nos,2012.0,https://clinicaltrials.gov/study/NCT01621880,,,,,,,
NCT01646125,"A Multicenter, Open-label, Randomized Phase II Study to Evaluate the Efficacy of AUY922 vs Pemetrexed or Docetaxel in NSCLC Patients With EGFR Mutations Who Have Progressed on Prior EGFR TKI Treatment",TERMINATED,docetaxel,TUBB,nsclc,2012.0,https://clinicaltrials.gov/study/NCT01646125,,,,,,,
NCT01701986,Gemcitabine/Clofarabine/Busulfan and Allogeneic Transplantation for Aggressive Lymphomas,COMPLETED,rituximab,MS4A1,lymphoma,2012.0,https://clinicaltrials.gov/study/NCT01701986,,,,,,,
NCT01750281,"A Phase II, Double-Blind, Randomised, Placebo-Controlled Study to Assess the Efficacy and Safety of Selumetinib (AZD6244; ARRY-142886) (Hyd-Sulfate) in Combination With Docetaxel, Compared With Placebo in Combination With Docetaxel, in Patients Receiving Second Line Treatment for Locally Advanced or Metastatic Non Small Cell Lung Cancer (Stage IIIB - IV)",COMPLETED,docetaxel,TUBB,nsclc,2012.0,https://clinicaltrials.gov/study/NCT01750281,,,,,,,
NCT01763788,"An Open-Label, Multicenter, Phase 1b/2 Study to Evaluate Necitumumab in Combination With Gemcitabine and Cisplatin in the First-Line Treatment of Patients With Advanced (Stage IV) Squamous Non-Small Cell Lung Cancer (NSCLC)",COMPLETED,gemcitabine,RRM1,nsclc,2013.0,https://clinicaltrials.gov/study/NCT01763788,,,,,,,
NCT01776307,A Phase II Clinical Study of BBI608 in Adult Patients With Advanced Colorectal Cancer,COMPLETED,cetuximab,EGFR,colorectal cancer,2012.0,https://clinicaltrials.gov/study/NCT01776307,,,,,,,
NCT01853748,A Randomized Phase II Study of Trastuzumab Emtansine (T-DM1) vs. Paclitaxel in Combination With Trastuzumab for Stage I HER2-Positive Breast Cancer (ATEMPT Trial),COMPLETED,trastuzumab,ERBB2,breast cancer,2013.0,https://clinicaltrials.gov/study/NCT01853748,,,,,,,
NCT02008539,Treatment of Advanced Gastrointestinal Cancer in a Phase I/II Trial With Modified Autologous MSC_apceth_101,TERMINATED,unmapped,UNKNOWN,cancer nos,2013.0,https://clinicaltrials.gov/study/NCT02008539,,,,,,,
