primary_target,disease,family,n,k,raw_rate,posterior_mean,ci_lo,ci_hi,prior_alpha,prior_beta,own_data_weight
PDCD1,solid tumors,immune_checkpoint,5,1,0.2,0.19205524682769753,0.03248312853635744,0.43170476357127063,0.7256650443404796,3.259588276484756,0.5564673383677938
TUBB,cancer nos,cytotoxic_chemo,5,0,0.0,0.038584298098972965,1.0704117412065213e-06,0.18404825672954597,0.25931056800784047,1.4613136440143757,0.7439785118554507
CRBN,lymphoma,proteostasis_immunomodulatory,5,1,0.2,0.22355131891539223,0.0575387174327299,0.44914934634272735,1.4324021069242476,4.4483304189475525,0.4595278845529184
UNKNOWN,breast cancer,unmapped,4,2,0.5,0.4445151819003335,0.16669029081757827,0.7412278965180936,1.1575386604781213,1.9457927645126345,0.563116059308074
ABL1,cancer nos,growth_factor_kinase,4,0,0.0,0.07905406332488629,0.000845547371322658,0.27165232539343837,0.6025372726252013,3.019300837693942,0.5248077881088071
DNA,ovarian cancer,cytotoxic_chemo,4,0,0.0,0.0453290687164671,1.2800961847108143e-06,0.21583677138822724,0.25931056800784047,1.4613136440143757,0.6992243943578348
RRM1,nsclc,cytotoxic_chemo,4,1,0.25,0.2201351673059258,0.023220323636119797,0.5325365001770889,0.25931056800784047,1.4613136440143757,0.6992243943578348
VEGFA,nsclc,angiogenesis,4,0,0.0,0.09109513308811842,0.0015184937913433252,0.2986561466859897,0.6705817555284743,2.6907528492500834,0.5433797286436931
BRAF,cancer nos,ras_mapk_pathway,4,1,0.25,0.217408765653618,0.03956170025610746,0.4758553625172707,0.7941963985407925,3.4584441660966005,0.4846933498037005
PDCD1,melanoma,immune_checkpoint,4,1,0.25,0.21610648717179845,0.03731405687822005,0.4785905017471577,0.7256650443404796,3.259588276484756,0.5009233695276959
BRAF,melanoma,ras_mapk_pathway,4,0,0.0,0.09623542820269286,0.002882864497636966,0.2959671736300347,0.7941963985407925,3.4584441660966005,0.4846933498037005
DNA,hnscc,cytotoxic_chemo,4,2,0.5,0.39494126589538453,0.10845827580420325,0.7261660543812715,0.25931056800784047,1.4613136440143757,0.6992243943578348
BRAF,renal cell carcinoma,ras_mapk_pathway,4,0,0.0,0.09623542820269286,0.002882864497636966,0.2959671736300347,0.7941963985407925,3.4584441660966005,0.4846933498037005
DNA,gastric cancer,cytotoxic_chemo,4,1,0.25,0.2201351673059258,0.023220323636119797,0.5325365001770889,0.25931056800784047,1.4613136440143757,0.6992243943578348
