nct_id,canonical_drug,primary_target,disease,biomarker,modality,label_balanced,predicted_p,CDS,TDS,BFS,MCS,TWS,EMS,BIOLOGY_SCORE,top_strength,top_risk
NCT04629651,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.6002,0.19849572000000004,0.7333035999999999,0.2625,0.34082425,0.6872235999999999,0.38571540000000004,0.41817538399999993,TDS,CDS
NCT06087237,unmapped,UNKNOWN,breast cancer,,unknown,1,0.6,0.21247464000000005,0.7261375999999999,0.2625,0.3501919,0.6257608,0.36135819999999996,0.408896798,TDS,CDS
NCT05109442,atezolizumab,CD274,solid tumors,PD-L1,antibody,0,0.5997,0.35178827999999995,0.288656,0.4050325,0.63448375,0.5943376,0.4149817777869529,0.4527055876680429,MCS,TDS
NCT04452955,unmapped,UNKNOWN,solid tumors,,unknown,1,0.5991,0.21438978000000003,0.7105651999999999,0.2625,0.3721243,0.7052404,0.4219662,0.432343586,TDS,CDS
NCT06017297,durvalumab,CD274,cancer NOS,,antibody,0,0.5987,0.33668286000000003,0.28736000000000006,0.2625,0.66709495,0.6684327999999999,0.6491599129186164,0.4808734689377924,TWS,BFS
NCT05589597,unmapped,UNKNOWN,colorectal cancer,PD-L1,unknown,0,0.5976,0.26997936,0.717496,0.45507,0.34184605,0.6483484,0.3047394,0.44121315200000005,TDS,CDS
NCT03801304,atezolizumab,CD274,NSCLC,PD-L1,antibody,1,0.5974,0.3815280442443874,0.291524,0.47447399999999995,0.6657593499999999,0.6627724,0.5029935656573998,0.4992220736974875,MCS,TDS
NCT04308785,atezolizumab,CD274,SCLC,PD-L1,antibody,0,0.5908,0.38745924,0.27763400000000005,0.3914115,0.63246205,0.6797428,0.27709938277823654,0.4478674104167355,TWS,EMS
NCT06068881,unmapped,UNKNOWN,lymphoma,,unknown,0,0.5904,0.23018766000000002,0.6924092,0.2625,0.39091975,0.6147592000000001,0.3278306,0.40884633200000003,TDS,CDS
NCT04212221,unmapped,UNKNOWN,hepatocellular carcinoma,PD-L1,unknown,0,0.5878,0.21892566,0.70242,0.4262105,0.33433284999999996,0.6020116,0.39265500000000003,0.42914626699999997,TDS,CDS
NCT05565794,unmapped,UNKNOWN,cholangiocarcinoma,FGFR alteration,unknown,0,0.5866,0.26148978,0.7033191999999999,0.4544865,0.35231635,0.6155464,0.3496742,0.441215171,TDS,CDS
NCT04576455,fulvestrant,ESR1,breast cancer,ER positive,small_molecule,1,0.5865,0.5260432586324604,0.30783200000000005,0.3542585,0.62340215,0.6191632,0.5254887642969984,0.5009004513710418,MCS,TDS
NCT06881823,unmapped,UNKNOWN,prostate cancer,PSMA,unknown,0,0.5849,0.27774954,0.6832447999999999,0.489992,0.3459559,0.6362175999999999,0.3173244,0.44375790800000003,TDS,CDS
NCT06227897,unmapped,UNKNOWN,lung cancer NOS,,unknown,0,0.5801,0.23247522000000004,0.6800536,0.2625,0.37072120000000003,0.521452,0.355995,0.39363937400000004,TDS,CDS
NCT04329325,dasatinib,ABL1,cancer NOS,,small_molecule,1,0.58,0.55540032,0.26864,0.2625,0.6528719,0.6263008,0.5549022584726728,0.4985059027709009,MCS,BFS
NCT04126525,unmapped,UNKNOWN,breast cancer,HER2 amplification,unknown,1,0.578,0.24240450000000002,0.7096119999999999,0.427072,0.34852255000000004,0.7368172,0.390496,0.45778498999999995,TWS,CDS
NCT04337931,unmapped,UNKNOWN,melanoma,PD-L1,unknown,0,0.5767,0.27397247999999996,0.7280176,0.4476405,0.36087834999999996,0.5875024,0.3828958,0.448878611,TDS,CDS
NCT06006286,atezolizumab,CD274,hepatocellular carcinoma,PD-L1,antibody,0,0.5705,0.30623765523417656,0.25406000000000006,0.45559499999999997,0.62052355,0.6719476,0.35386364032480044,0.44567217709555534,TWS,TDS
NCT05908786,atezolizumab,CD274,hepatocellular carcinoma,PD-L1,antibody,1,0.5683,0.34272845523417655,0.28073000000000004,0.4624595,0.61486765,0.6880216000000001,0.3467104403248005,0.4582074520955554,TWS,TDS
NCT03795272,rucaparib,PARP1,cancer NOS,,small_molecule,0,0.5638,0.53241324,0.303462,0.2625,0.6382031499999999,0.6310816000000001,0.5122099164179105,0.49051130546268656,MCS,BFS
NCT04463771,unmapped,UNKNOWN,endometrial cancer,PD-L1,unknown,1,0.5634,0.20403708,0.7227372000000001,0.44576899999999997,0.34944325000000004,0.6037779999999999,0.3735108,0.432565316,TDS,CDS
NCT04536922,cyclophosphamide,DNA,cancer NOS,PD-L1,small_molecule,0,0.5619,0.2988936,0.3984332,0.401893,0.5569716499999999,0.67906,0.4433856,0.45958881999999995,TWS,CDS
NCT04611776,atezolizumab,CD274,NSCLC,PD-L1,antibody,0,0.5615,0.3330528442443874,0.271508,0.4315385,0.65089435,0.752464,0.5047575656573998,0.4908296486974875,TWS,TDS
NCT03620903,ibrutinib,BTK,cancer NOS,CD19,small_molecule,1,0.5602,0.55161444,0.27478600000000003,0.471527,0.6239168500000001,0.6595876,0.4894877640725349,0.5194145126108802,TWS,TDS
NCT04362007,unmapped,UNKNOWN,lymphoma,,unknown,0,0.5589,0.26787378,0.6892452,0.2625,0.37975015,0.6591448,0.35525280000000004,0.424446206,TDS,BFS
NCT04157088,enzalutamide,AR,cancer NOS,,small_molecule,0,0.5589,0.4883851800000001,0.289254,0.2625,0.62998745,0.6116176,0.7095216872492289,0.5046085190873844,EMS,BFS
NCT04029038,cyclophosphamide,DNA,CLL,CD19,small_molecule,0,0.5489,0.26369423999999997,0.44351799999999997,0.4426035,0.57432065,0.6893415999999999,0.4437168,0.470479963,TWS,CDS
NCT03610724,unmapped,UNKNOWN,lymphoma,CD19,unknown,1,0.5479,0.28075458,0.7557003999999999,0.4397715,0.38142610000000005,0.6625024,0.38537699999999997,0.468938831,TDS,CDS
NCT07084909,unmapped,UNKNOWN,renal cell carcinoma,PSMA,unknown,0,0.5472,0.23493438,0.6629244,0.412482,0.35475415000000005,0.6920848,0.37509079999999995,0.439325006,TWS,CDS
NCT05685550,unmapped,UNKNOWN,cancer NOS,PD-L1,unknown,1,0.5464,0.22347222000000003,0.7365872,0.4067835,0.3413578,0.6159388,0.4008726,0.436993319,TDS,CDS
NCT03668392,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.5451,0.2243223,0.7610696000000001,0.2625,0.36705025,0.7123564,0.37272,0.43457141000000005,TDS,CDS
NCT03868423,brigatinib,ALK,cancer NOS,,small_molecule,0,0.5315,0.5893765200000001,0.30845,0.2625,0.6685846999999999,0.6761056,0.6403789962783045,0.5347074334417456,TWS,BFS
NCT04980222,doxorubicin,TOP2A,lymphoma,BCL2 overexpression,small_molecule,1,0.5295,0.32618136000000003,0.6495428,0.4627985,0.5645334,0.5286328,0.38074879999999994,0.48140138699999996,TDS,CDS
NCT04294277,unmapped,UNKNOWN,bladder cancer,FGFR alteration,unknown,1,0.5294,0.30799266000000003,0.7090712,0.446368,0.35092165000000003,0.639688,0.34595580000000004,0.45294531200000004,TDS,CDS
NCT04272645,abemaciclib,CDK4,prostate cancer,PD-L1,small_molecule,0,0.5294,0.4277836813115144,0.32925400000000005,0.464303,0.6021689,0.6640528000000001,0.33065982916358255,0.4742309606368403,TWS,TDS
NCT07511972,pembrolizumab,PDCD1,cancer NOS,,antibody,0,0.529,0.30250962,0.28283600000000003,0.2625,0.6294119499999999,0.657856,0.6021043300639369,0.4571787635095905,TWS,BFS
NCT06391775,pembrolizumab,PDCD1,solid tumors,PD-L1,antibody,1,0.5243,0.37947329999999996,0.28496600000000005,0.405194,0.6353111499999999,0.623536,0.3971963600462522,0.45959074400693783,MCS,TDS
NCT04648826,unmapped,UNKNOWN,melanoma,PD-L1,unknown,0,0.5198,0.27851634000000003,0.7283808,0.43747400000000003,0.37251415000000004,0.6152632,0.4031952,0.45785307799999997,TDS,CDS
NCT05298696,unmapped,UNKNOWN,breast cancer,,unknown,1,0.5198,0.24192702,0.7358868,0.2625,0.3855484,0.5904280000000001,0.3888384000000001,0.422143064,TDS,CDS
NCT05255484,unmapped,UNKNOWN,solid tumors,,unknown,0,0.5189,0.17960856,0.7032503999999999,0.2625,0.34098880000000004,0.767506,0.36845700000000003,0.41937648200000005,TWS,CDS
