nct_id,canonical_drug,primary_target,disease,mechanism_family,genomic_evidence_coverage,ml_model_probability,hierarchical_base_rate,hierarchical_ci,pair_n_trials_seen,own_data_weight,blended_decision_score,percentile_vs_historical_profiles
NCT00305877,cetuximab,EGFR,pancreatic cancer,growth_factor_kinase,0.89,0.133,0.186,"[0.03, 0.43]",5,0.52,0.159,14.7
NCT03873493,ibrutinib,BTK,leukemia,growth_factor_kinase,0.89,0.207,0.242,"[0.04, 0.54]",3,0.4,0.228,70.1
NCT03041311,atezolizumab,CD274,cancer nos,immune_checkpoint,0.67,0.207,0.21,"[0.06, 0.41]",9,0.46,0.208,70.5
NCT01996332,erlotinib,EGFR,nsclc,growth_factor_kinase,0.89,0.167,0.191,"[0.05, 0.38]",10,0.65,0.175,63.6
NCT01532687,pazopanib,VEGFR2,cancer nos,angiogenesis,0.78,0.242,0.297,"[0.11, 0.52]",9,0.57,0.266,74.5
NCT04933695,sotorasib,KRAS,nsclc,ras_mapk_pathway,0.78,0.473,0.342,"[0.07, 0.69]",1,0.15,0.361,92.6
NCT00166439,oxaliplatin,DNA,lymphoma,cytotoxic_chemo,0.33,0.136,0.03,"[0.00, 0.14]",7,0.27,0.058,29.0
NCT00691301,cisplatin,DNA,cervical cancer,cytotoxic_chemo,0.33,0.136,0.07,"[0.00, 0.33]",2,0.18,0.082,29.0
NCT00598507,unmapped,UNKNOWN,melanoma,unmapped,0.0,0.632,0.619,"[0.27, 0.91]",2,0.0,0.619,92.9
NCT01126736,pemetrexed,TYMS,nsclc,cytotoxic_chemo,0.56,0.174,0.338,"[0.04, 0.74]",2,0.3,0.289,65.2
NCT00390611,sorafenib,BRAF,ovarian cancer,ras_mapk_pathway,0.89,0.136,0.127,"[0.00, 0.38]",2,0.28,0.13,29.0
NCT02985957,nivolumab,PDCD1,prostate cancer,immune_checkpoint,0.67,0.14,0.104,"[0.00, 0.33]",3,0.29,0.114,52.8
NCT00409565,cetuximab,EGFR,hnscc,growth_factor_kinase,0.89,0.133,0.31,"[0.12, 0.54]",8,0.61,0.202,14.7
NCT00731211,pazopanib,VEGFR2,renal cell carcinoma,angiogenesis,0.78,0.242,0.235,"[0.07, 0.46]",8,0.55,0.239,74.5
NCT01462695,sunitinib,VEGFR2,cancer nos,angiogenesis,0.78,0.242,0.297,"[0.11, 0.52]",9,0.57,0.266,74.5
NCT01750281,docetaxel,TUBB,nsclc,cytotoxic_chemo,0.33,0.133,0.07,"[0.00, 0.33]",2,0.18,0.081,14.7
NCT00004092,carboplatin,DNA,breast cancer,cytotoxic_chemo,0.33,0.136,0.187,"[0.02, 0.46]",5,0.25,0.175,29.0
NCT00586495,sorafenib,BRAF,renal cell carcinoma,ras_mapk_pathway,0.89,0.136,0.096,"[0.00, 0.30]",4,0.43,0.113,29.0
NCT00039195,rituximab,MS4A1,lymphoma,bcell_lymphoma_target,0.78,0.113,0.092,"[0.03, 0.19]",24,0.59,0.105,3.1
NCT03977467,atezolizumab,CD274,nsclc,immune_checkpoint,0.67,0.287,0.273,"[0.08, 0.52]",6,0.4,0.279,90.9
NCT00372775,sunitinib,VEGFR2,nsclc,angiogenesis,0.78,0.242,0.154,"[0.00, 0.48]",1,0.18,0.169,74.5
NCT00515411,trastuzumab,ERBB2,gastric cancer,growth_factor_kinase,0.89,0.244,0.347,"[0.06, 0.71]",1,0.19,0.327,89.5
NCT00271609,bevacizumab,VEGFA,cancer nos,angiogenesis,0.67,0.136,0.378,"[0.17, 0.61]",9,0.49,0.26,29.0
NCT01611259,rituximab,MS4A1,lymphoma,bcell_lymphoma_target,0.78,0.113,0.092,"[0.03, 0.19]",24,0.59,0.105,3.1
NCT00371254,dasatinib,ABL1,breast cancer,growth_factor_kinase,0.89,0.136,0.242,"[0.04, 0.54]",3,0.4,0.199,29.0
NCT03958045,nivolumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT02312245,bevacizumab,VEGFA,ovarian cancer,angiogenesis,0.67,0.136,0.072,"[0.00, 0.24]",6,0.43,0.099,29.0
NCT03534180,venetoclax,BCL2,lymphoma,bcell_lymphoma_target,0.89,0.217,0.181,"[0.03, 0.40]",3,0.25,0.19,73.0
NCT03194373,palbociclib,CDK4,hnscc,cell_cycle,0.89,0.136,0.124,"[0.01, 0.36]",1,0.12,0.125,29.0
NCT05653427,unmapped,UNKNOWN,hepatocellular carcinoma,unmapped,0.0,0.632,0.423,"[0.11, 0.77]",2,0.0,0.423,92.9
NCT01418742,panitumumab,EGFR,colorectal cancer,growth_factor_kinase,0.89,0.113,0.039,"[0.00, 0.14]",12,0.68,0.09,3.1
NCT02300545,pazopanib,VEGFR2,cancer nos,angiogenesis,0.78,0.242,0.297,"[0.11, 0.52]",9,0.57,0.266,74.5
NCT05687617,unmapped,UNKNOWN,gastric cancer,unmapped,0.0,0.632,0.282,"[0.03, 0.66]",1,0.0,0.282,92.9
NCT01057589,cetuximab,EGFR,hnscc,growth_factor_kinase,0.89,0.133,0.31,"[0.12, 0.54]",8,0.61,0.202,14.7
NCT00403403,bevacizumab,VEGFA,cancer nos,angiogenesis,0.67,0.136,0.378,"[0.17, 0.61]",9,0.49,0.26,29.0
NCT01492088,brentuximab vedotin,TNFRSF8,lymphoma,bcell_lymphoma_target,0.67,0.237,0.181,"[0.03, 0.40]",3,0.19,0.191,74.0
NCT04118166,nivolumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT02041429,ruxolitinib,JAK1,breast cancer,growth_factor_kinase,0.67,0.138,0.347,"[0.06, 0.71]",1,0.14,0.317,52.5
NCT00679783,unmapped,UNKNOWN,ovarian cancer,unmapped,0.0,0.632,0.567,"[0.30, 0.81]",6,0.0,0.567,92.9
NCT00667394,bevacizumab,VEGFA,glioblastoma,angiogenesis,0.67,0.136,0.154,"[0.00, 0.48]",1,0.15,0.151,29.0
NCT00085566,gefitinib,EGFR,prostate cancer,growth_factor_kinase,0.89,0.133,0.13,"[0.00, 0.43]",1,0.19,0.131,14.7
NCT00948922,bortezomib,PSMB5,multiple myeloma,proteostasis_immunomodulatory,0.89,0.25,0.319,"[0.14, 0.53]",8,0.51,0.284,89.7
NCT00968253,everolimus,MTOR,leukemia,cell_cycle,0.89,0.113,0.109,"[0.00, 0.32]",2,0.21,0.11,3.1
NCT00119262,bevacizumab,VEGFA,breast cancer,angiogenesis,0.67,0.136,0.263,"[0.05, 0.57]",3,0.31,0.223,29.0
NCT00672594,sunitinib,VEGFR2,prostate cancer,angiogenesis,0.78,0.242,0.312,"[0.06, 0.65]",2,0.29,0.291,74.5
NCT05085002,letrozole,CYP19A1,breast cancer,hormonal,0.89,0.092,0.107,"[0.01, 0.29]",3,0.26,0.103,1.6
NCT02317991,ramucirumab,KDR,cancer nos,angiogenesis,0.33,0.097,0.105,"[0.00, 0.34]",3,0.16,0.104,2.0
